New_ID,iMab100nM_6.5_5,imseeker
V2_IMOTIF_10516,-0.15,0.0
V2_IMOTIF_10517,-0.27,0.0
V2_IMOTIF_10518,17.8,0.37
V2_IMOTIF_10519,0.52,0.502
V2_IMOTIF_1052,13.81,0.367
V2_IMOTIF_10520,15.43,0.243
V2_IMOTIF_10521,-0.27,0.361
V2_IMOTIF_10522,9.94,0.343
V2_IMOTIF_10523,-0.29,0.0
V2_IMOTIF_10524,1.9,0.0
V2_IMOTIF_10525,11.87,0.232
V2_IMOTIF_10526,0.29,0.349
V2_IMOTIF_10527,14.54,0.388
V2_IMOTIF_10528,1.7,0.0
V2_IMOTIF_10529,22.14,0.382
V2_IMOTIF_1053,16.39,0.251
V2_IMOTIF_10530,23.65,0.33
V2_IMOTIF_10531,2.91,0.332
V2_IMOTIF_10532,3.61,0.275
V2_IMOTIF_10533,-0.04,0.0
V2_IMOTIF_10534,-0.42,0.0
V2_IMOTIF_10535,0.24,0.426
V2_IMOTIF_10536,-0.42,0.0
V2_IMOTIF_10537,-0.38,0.48
V2_IMOTIF_10538,5.07,0.366
V2_IMOTIF_10539,-0.38,0.505
V2_IMOTIF_1054,14.72,0.287
V2_IMOTIF_10540,-0.38,0.299
V2_IMOTIF_10541,-0.35,0.0
V2_IMOTIF_10542,-0.41,0.0
V2_IMOTIF_10543,-0.48,0.0
V2_IMOTIF_10544,8.54,0.0
V2_IMOTIF_10545,17.22,0.0
V2_IMOTIF_10546,-0.08,0.276
V2_IMOTIF_10547,0.6,0.441
V2_IMOTIF_10548,2.35,0.0
V2_IMOTIF_10549,-0.39,0.465
V2_IMOTIF_1055,9.52,0.368
V2_IMOTIF_10550,13.28,0.448
V2_IMOTIF_10551,20.9,0.501
V2_IMOTIF_10552,15.8,0.0
V2_IMOTIF_10553,21.36,0.327
V2_IMOTIF_10554,-0.39,0.0
V2_IMOTIF_10555,2.04,0.404
V2_IMOTIF_10556,-0.37,0.333
V2_IMOTIF_10557,-0.4,0.0
V2_IMOTIF_10558,12.24,0.0
V2_IMOTIF_10559,18.03,0.245
V2_IMOTIF_1056,17.23,0.368
V2_IMOTIF_10560,16.26,0.323
V2_IMOTIF_10561,-0.01,0.348
V2_IMOTIF_10562,1.27,0.0
V2_IMOTIF_10563,2.04,0.0
V2_IMOTIF_10564,-0.1,0.0
V2_IMOTIF_10565,25.29,0.0
V2_IMOTIF_10566,13.12,0.0
V2_IMOTIF_10567,14.39,0.332
V2_IMOTIF_10568,-0.43,0.0
V2_IMOTIF_10569,-0.26,0.41
V2_IMOTIF_1057,19.73,0.0
V2_IMOTIF_10570,-0.39,0.366
V2_IMOTIF_10571,0.36,0.45
V2_IMOTIF_10572,-0.44,0.375
V2_IMOTIF_10573,9.92,0.0
V2_IMOTIF_10574,20.68,0.0
V2_IMOTIF_10575,15.27,0.0
V2_IMOTIF_10576,16.96,0.345
V2_IMOTIF_10577,-0.35,0.0
V2_IMOTIF_10578,0.37,0.22
V2_IMOTIF_10579,7.92,0.354
V2_IMOTIF_1058,20.42,0.304
V2_IMOTIF_10580,0.61,0.287
V2_IMOTIF_10581,2.53,0.0
V2_IMOTIF_10582,29.26,0.171
V2_IMOTIF_10583,-0.47,0.0
V2_IMOTIF_10584,16.7,0.454
